exchange_symbol,symbol,size_multiplier
BTCUSDT_220325,BUF/F_BTCUSDTH2,1000.0
BTCUSDT_230331,BUF/F_BTCUSDTH3,1000.0
BTCUSDT_220624,BUF/F_BTCUSDTM2,1000.0
BTCUSDT_230630,BUF/F_BTCUSDTM3,1000.0
BTCUSDT_210924,BUF/F_BTCUSDTU1,1000.0
BTCUSDT_220930,BUF/F_BTCUSDTU2,1000.0
BTCUSDT_230929,BUF/F_BTCUSDTU3,1000.0
BTCUSDT_211231,BUF/F_BTCUSDTZ1,1000.0
BTCUSDT_221230,BUF/F_BTCUSDTZ2,1000.0
ETHUSDT_220325,BUF/F_ETHUSDTH2,1000.0
ETHUSDT_230331,BUF/F_ETHUSDTH3,1000.0
ETHUSDT_220624,BUF/F_ETHUSDTM2,1000.0
ETHUSDT_230630,BUF/F_ETHUSDTM3,1000.0
ETHUSDT_210924,BUF/F_ETHUSDTU1,1000.0
ETHUSDT_220930,BUF/F_ETHUSDTU2,1000.0
ETHUSDT_211231,BUF/F_ETHUSDTZ1,1000.0
ETHUSDT_221230,BUF/F_ETHUSDTZ2,1000.0
1000FLOKIUSDT,BUF/P_1000FLOKIUSDT,1.0
1000LUNCBUSD,BUF/P_1000LUNCBUSD,1.0
1000LUNCUSDT,BUF/P_1000LUNCUSDT,1.0
1000PEPEUSDT,BUF/P_1000PEPEUSDT,1.0
1000SHIBBUSD,BUF/P_1000SHIBBUSD,1.0
1000SHIBUSDT,BUF/P_1000SHIBUSDT,1.0
1000XECUSDT,BUF/P_1000XECUSDT,1.0
1INCHUSDT,BUF/P_1INCHUSDT,1.0
AAVEUSDT,BUF/P_AAVEUSDT,10.0
ACHUSDT,BUF/P_ACHUSDT,1.0
ADABUSD,BUF/P_ADABUSD,1.0
ADAUSDT,BUF/P_ADAUSDT,1.0
AGIXBUSD,BUF/P_AGIXBUSD,1.0
AGIXUSDT,BUF/P_AGIXUSDT,1.0
AGLDUSDT,BUF/P_AGLDUSDT,1.0
AKROUSDT,BUF/P_AKROUSDT,1.0
ALGOUSDT,BUF/P_ALGOUSDT,10.0
ALICEUSDT,BUF/P_ALICEUSDT,10.0
